GeForce GTX 650 ,0FC6,470.xx
GeForce GT 740 ,0FC8,470.xx
GeForce GT 730 ,0FC9,470.xx
GeForce GT 755M ,0FCD,470.xx
GeForce GT 640M LE ,0FCE,470.xx
GeForce GT 650M ,0FD1,470.xx
GeForce GT 640M ,0FD2,470.xx
GeForce GT 640M LE ,0FD2 ,470.xx
GeForce GT 640M LE ,0FD2 ,470.xx
GeForce GT 640M LE ,0FD3,470.xx
GeForce GTX 660M ,0FD4,470.xx
GeForce GT 650M ,0FD5,470.xx
GeForce GT 640M ,0FD8,470.xx
GeForce GT 645M ,0FD9,470.xx
GeForce GT 740M ,0FDF,470.xx
GeForce GTX 660M ,0FE0,470.xx
GeForce GT 730M ,0FE1,470.xx
GeForce GT 745M ,0FE2,470.xx
GeForce GT 745M ,0FE3,470.xx
GeForce GT 745A ,0FE3 ,470.xx
GeForce GT 745A ,0FE3 ,470.xx
GeForce GT 750M ,0FE4,470.xx
GeForce GT 750M ,0FE9,470.xx
GeForce GT 755M ,0FEA,470.xx
GeForce 710A ,0FEC,470.xx
GeForce 820M ,0FED,470.xx
GeForce 810M ,0FEE,470.xx
Quadro K1100M ,0FF6,470.xx
Quadro K500M ,0FF8,470.xx
Quadro K2000D ,0FF9,470.xx
Quadro K600 ,0FFA,470.xx
Quadro K2000M ,0FFB,470.xx
Quadro K1000M ,0FFC,470.xx
NVS 510 ,0FFD,470.xx
Quadro K2000 ,0FFE,470.xx
Quadro 410 ,0FFF,470.xx
GeForce GTX TITAN Z ,1001,470.xx
GeForce GTX 780 ,1004,470.xx
GeForce GTX TITAN ,1005,470.xx
GeForce GTX 780 ,1007,470.xx
GeForce GTX 780 Ti ,1008,470.xx
GeForce GTX 780 Ti ,100A,470.xx
GeForce GTX TITAN Black ,100C,470.xx
Tesla K20Xm ,1021,470.xx
Tesla K20c ,1022,470.xx
Tesla K40m ,1023,470.xx
Tesla K40c ,1024,470.xx
Tesla K20s ,1026,470.xx
Tesla K40st ,1027,470.xx
Tesla K20m ,1028,470.xx
Tesla K40s ,1029,470.xx
Tesla K40t ,102A,470.xx
Tesla K80 ,102D,470.xx
Quadro K6000 ,103A,470.xx
Quadro K5200 ,103C,470.xx
GeForce GTX 680 ,1180,470.xx
GeForce GTX 660 Ti ,1183,470.xx
GeForce GTX 770 ,1184,470.xx
GeForce GTX 660 ,1185,470.xx
GeForce GTX 760 ,1185 ,470.xx
GeForce GTX 760 ,1187,470.xx
GeForce GTX 690 ,1188,470.xx
GeForce GTX 670 ,1189,470.xx
GeForce GTX 760 Ti OEM ,1189 ,470.xx
GRID K520 ,118A,470.xx
GeForce GTX 760 (192-bit) ,118E,470.xx
Tesla K10 ,118F,470.xx
GeForce GTX 760 Ti OEM ,1193,470.xx
Tesla K8 ,1194,470.xx
GeForce GTX 660 ,1195,470.xx
GeForce GTX 880M ,1198,470.xx
GeForce GTX 870M ,1199,470.xx
GeForce GTX 760 ,1199 ,470.xx
GeForce GTX 860M ,119A,470.xx
GeForce GTX 775M ,119D,470.xx
GeForce GTX 780M ,119E,470.xx
GeForce GTX 780M ,119F,470.xx
GeForce GTX 680M ,11A0,470.xx
GeForce GTX 670MX ,11A1,470.xx
GeForce GTX 675MX ,11A2,470.xx
GeForce GTX 680MX ,11A3,470.xx
GeForce GTX 675MX ,11A7,470.xx
Quadro K4200 ,11B4,470.xx
Quadro K3100M ,11B6,470.xx
Quadro K4100M ,11B7,470.xx
Quadro K5100M ,11B8,470.xx
Quadro K5000 ,11BA,470.xx
Quadro K5000M ,11BC,470.xx
Quadro K4000M ,11BD,470.xx
Quadro K3000M ,11BE,470.xx
GeForce GTX 660 ,11C0,470.xx
GeForce GTX 650 Ti BOOST ,11C2,470.xx
GeForce GTX 650 Ti ,11C3,470.xx
GeForce GTX 645 ,11C4,470.xx
GeForce GT 740 ,11C5,470.xx
GeForce GTX 650 Ti ,11C6,470.xx
GeForce GTX 650 ,11C8,470.xx
GeForce GT 740 ,11CB,470.xx
GeForce GTX 770M ,11E0,470.xx
GeForce GTX 765M ,11E1,470.xx
GeForce GTX 765M ,11E2,470.xx
GeForce GTX 760M ,11E3,470.xx
GeForce GTX 760A ,11E3 ,470.xx
Quadro K4000 ,11FA,470.xx
Quadro K2100M ,11FC,470.xx
GeForce GT 635 ,1280,470.xx
GeForce GT 710 ,1281,470.xx
GeForce GT 640 ,1282,470.xx
GeForce GT 630 ,1284,470.xx
GeForce GT 720 ,1286,470.xx
GeForce GT 730 ,1287,470.xx
GeForce GT 720 ,1288,470.xx
GeForce GT 710 ,1289,470.xx
GeForce GT 710 ,128B,470.xx
GeForce GT 730M ,1290,470.xx
GeForce GT 730A ,1290 ,470.xx
GeForce GT 735M ,1291,470.xx
GeForce GT 740M ,1292,470.xx
GeForce GT 740A ,1292 ,470.xx
GeForce GT 740A ,1292 ,470.xx
GeForce GT 740A ,1292 ,470.xx
GeForce GT 730M ,1293,470.xx
GeForce 710M ,1295,470.xx
GeForce 710A ,1295 ,470.xx
GeForce 710A ,1295 ,470.xx
GeForce 810A ,1295 ,470.xx
GeForce 810A ,1295 ,470.xx
GeForce 805A ,1295 ,470.xx
GeForce 710A ,1295 ,470.xx
GeForce 825M ,1296,470.xx
GeForce GT 720M ,1298,470.xx
GeForce 920M ,1299,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce 920A ,1299 ,470.xx
GeForce GT 730 ,1299 ,470.xx
GeForce 910M ,129A,470.xx
Quadro K610M ,12B9,470.xx
Quadro K510M ,12BA,470.xx
GeForce GTX 480 ,06C0,390.xx
GeForce GTX 465 ,06C4,390.xx
GeForce GTX 480M ,06CA,390.xx
GeForce GTX 470 ,06CD,390.xx
Tesla C2050 / C2070 ,06D1,390.xx
Tesla C2050 ,06D1 ,390.xx
Tesla C2070 ,06D1 ,390.xx
Tesla M2070 ,06D2,390.xx
Tesla X2070 ,06D2 ,390.xx
Quadro 6000 ,06D8,390.xx
Quadro 5000 ,06D9,390.xx
Quadro 5000M ,06DA,390.xx
Quadro 6000 ,06DC,390.xx
Quadro 4000 ,06DD,390.xx
Tesla T20 Processor ,06DE,390.xx
Tesla S2050 ,06DE ,390.xx
Tesla M2050 ,06DE ,390.xx
Tesla X2070 ,06DE ,390.xx
Tesla M2050 ,06DE ,390.xx
Tesla M2050 ,06DE ,390.xx
Tesla M2050 ,06DE ,390.xx
Tesla M2050 ,06DE ,390.xx
Tesla M2050 ,06DE ,390.xx
Tesla M2070-Q ,06DF,390.xx
GeForce GT 440 ,0DC0,390.xx
GeForce GTS 450 ,0DC4,390.xx
GeForce GTS 450 ,0DC5,390.xx
GeForce GTS 450 ,0DC6,390.xx
GeForce GT 555M ,0DCD,390.xx
GeForce GT 555M ,0DCE,390.xx
GeForce GTX 460M ,0DD1,390.xx
GeForce GT 445M ,0DD2,390.xx
GeForce GT 435M ,0DD3,390.xx
GeForce GT 550M ,0DD6,390.xx
Quadro 2000 ,0DD8,390.xx
Quadro 2000D ,0DD8 ,390.xx
Quadro 2000M ,0DDA,390.xx
GeForce GT 440 ,0DE0,390.xx
GeForce GT 430 ,0DE1,390.xx
GeForce GT 420 ,0DE2,390.xx
GeForce GT 635M ,0DE3,390.xx
GeForce GT 520 ,0DE4,390.xx
GeForce GT 530 ,0DE5,390.xx
GeForce GT 610 ,0DE7,390.xx
GeForce GT 620M ,0DE8,390.xx
GeForce GT 630M ,0DE9,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 620M ,0DE9 ,390.xx
GeForce GT 640M LE ,0DE9 ,390.xx
GeForce GT 635M ,0DE9 ,390.xx
GeForce 610M ,0DEA,390.xx
GeForce 615 ,0DEA ,390.xx
GeForce 615 ,0DEA ,390.xx
GeForce 615 ,0DEA ,390.xx
GeForce 615 ,0DEA ,390.xx
GeForce 615 ,0DEA ,390.xx
GeForce GT 555M ,0DEB,390.xx
GeForce GT 525M ,0DEC,390.xx
GeForce GT 520M ,0DED,390.xx
GeForce GT 415M ,0DEE,390.xx
NVS 5400M ,0DEF,390.xx
GeForce GT 425M ,0DF0,390.xx
GeForce GT 420M ,0DF1,390.xx
GeForce GT 435M ,0DF2,390.xx
GeForce GT 420M ,0DF3,390.xx
GeForce GT 540M ,0DF4,390.xx
GeForce GT 630M ,0DF4 ,390.xx
GeForce GT 630M ,0DF4 ,390.xx
GeForce GT 525M ,0DF5,390.xx
GeForce GT 550M ,0DF6,390.xx
GeForce GT 520M ,0DF7,390.xx
Quadro 600 ,0DF8,390.xx
Quadro 500M ,0DF9,390.xx
Quadro 1000M ,0DFA,390.xx
NVS 5200M ,0DFC,390.xx
GeForce GTX 460 ,0,390.xx
GeForce GTX 460 SE ,0,390.xx
GeForce GTX 460 ,0,390.xx
GeForce GTX 470M ,0,390.xx
GeForce GTX 485M ,0,390.xx
Quadro 3000M ,0E3A,390.xx
Quadro 4000M ,0E3B,390.xx
GeForce GT 630 ,0F00,390.xx
GeForce GT 620 ,0F01,390.xx
GeForce GT 730 ,0F02,390.xx
GeForce GT 610 ,0F03,390.xx
GeForce GT 520 ,1040,390.xx
GeForce 510 ,1042,390.xx
GeForce 605 ,1048,390.xx
GeForce GT 620 ,1049,390.xx
GeForce GT 610 ,104A,390.xx
GeForce GT 625 (OEM) ,104B,390.xx
GeForce GT 625 ,104B ,390.xx
GeForce GT 625 ,104B ,390.xx
GeForce GT 625 ,104B ,390.xx
GeForce GT 625 ,104B ,390.xx
GeForce GT 625 ,104B ,390.xx
GeForce GT 705 ,104C,390.xx
GeForce GT 520M ,1050,390.xx
GeForce GT 520MX ,1051,390.xx
GeForce GT 520M ,1052,390.xx
GeForce 410M ,1054,390.xx
GeForce 410M ,1055,390.xx
NVS 4200M ,1056,390.xx
NVS 4200M ,1057,390.xx
GeForce 610M ,1058,390.xx
GeForce 610 ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 705A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 610M ,1059,390.xx
GeForce 610M ,105A,390.xx
GeForce 705M ,105B,390.xx
GeForce 705A ,105B ,390.xx
GeForce 800A ,105B ,390.xx
GeForce 705A ,105B ,390.xx
GeForce 800A ,105B ,390.xx
NVS 315 ,107C,390.xx
NVS 310 ,107D,390.xx
GeForce GTX 580 ,1080,390.xx
GeForce GTX 570 ,1081,390.xx
GeForce GTX 560 Ti ,1082,390.xx
GeForce GTX 560 ,1084,390.xx
GeForce GTX 570 ,1086,390.xx
GeForce GTX 560 Ti ,1087,390.xx
GeForce GTX 590 ,1088,390.xx
GeForce GTX 580 ,1089,390.xx
GeForce GTX 580 ,108B,390.xx
Tesla M2090 ,1091,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla M2075 ,1094,390.xx
Tesla C2075 ,1096,390.xx
Tesla C2050 ,1096 ,390.xx
Quadro 5010M ,109A,390.xx
Quadro 7000 ,109B,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 810M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 810M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720A ,1140 ,390.xx
GeForce 710A ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 710M ,1140 ,390.xx
GeForce GT 710M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 710M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 620M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 820M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
NVS 5200M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 720A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce 705M ,1140 ,390.xx
GeForce 800M ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 800M ,1140 ,390.xx
GeForce 800M ,1140 ,390.xx
GeForce 800M ,1140 ,390.xx
GeForce 705A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce 820A ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 820M ,1140 ,390.xx
GeForce GT 820M ,1140 ,390.xx
GeForce GT 820M ,1140 ,390.xx
GeForce GT 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 610M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 610M ,1140 ,390.xx
GeForce 610M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 705M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
